,Product URL,Description,ASIN,Product Description,Manufacturer
0,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NDI5NjgxMjQzMjUyNDA5OjE2NzU0MTUzNzg6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415378%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS," Laptop Compatibility: Yes, Laptop size: 15.6 inches  ___ Outer Material: Polyester, Color: Black  ___ Water Resistance: Water resistant  ___ Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)  ___ Warranty type: Manufacturer; 12 months warranty against manufacturing defects  ___",B01LXNNFDF,"Ergonomically   Designed   The Laptop Bag by Urban Tribe is a   well structured and ergonomically designed. It is has spacious compartments   as well as an anti-clutter mobile phone charging compartment. The bag is very   handy and provides comfort to the user. Carry it in style.___Extra   Charging Compartment   The bag has a separate mobile   phone charging compartment to give you an anti-clutter experience while you   charge your phone.___Spacious   Compartment    The bag has a spacious main   compartment where you can carry your belongings such as your notebooks, pens, laptop, mobile etc. It is perfect for college going students who are looking for design and functionality, all in a single bag.___Withstand   heavy weight    The bag is made of Polyester,   making it durable and resistant to water, wear-and-tear thus making it sturdy enough to withstand heavy weight. Carry your laptop, books, mobile, wallet etc. with this bag all at once.___",Backpack International Pvt Ltd 
1,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NDI5NjgxMjQzMjUyNDA5OjE2NzU0MTUzNzg6c3BfYXRmOjIwMDM4MDA2MTg3Nzk4OjowOjo&url=%2FBackpack-Charging-Waterproof-Material-Capacity%2Fdp%2FB09MFWNY2C%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415378%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1," Fit Type: Regular  ___ Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more.  ___ Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find.  ___ Loaded with Great Features: Anti Theft Lock, Luggage Belt, USB Port Design with built in USB charger outside and built in charging cable inside(Not Include Power Bank). When walking, hiking, traveling, taking a bus, the backpack is convenient for charging smartphones/tablets/other devices.  ___ Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.  ___ Strap Type: Adjustable Handle; Style Name: Daypack Backpacks; Special Features: Expandable; Color Name: Black; Compartment Description: Up To 16 Inches; Closure Type: Zipper Snap; Age Range Description: Adult; Pattern Name: Plaid; Water Resistance Level: Water Resistant; Warranty Description: 1 Year Manufacture Warranty  ___",B09MFWNY2C,,Shaba bags 
2,https://www.amazon.in//American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-3," Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No  ___ Outer Material: Polyester, Color: Black  ___ Water Resistance: Water resistant , not Waterproof  ___ Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters  ___ Number of Wheels: 0, Number of compartments: 3  ___ Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of  ___ Mesh pockets on both sides to accommodate your sipper or bottle and umbrella  ___ Mesh Padding on back & shoulder strap to provide comfort & better back support  ___",B07CJCGM1M,,NA
3,https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-4," 30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.  ___ Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.  ___ Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.  ___ Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks  ___ 1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty  ___ Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.  ___",B084JGJ8PF,"Ergonomic Contoured Shape   With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!___Fits Your Laptop   Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches.___Strong and Lightweight    Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain.___",NA
4,https://www.amazon.in//Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-5," Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,  ___",B08Z1HHHTD,,VIP Industries Ltd 
5,https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-6, Material: Water Resistant Light-Weight Polyester  ___ Compartments: 2 with padding; Laptop Size: 15.6 inch and below  ___ Dimensions: LxWxH - 12.5 x 7.5 x 19 inches  ___ Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders  ___ Closure Type: Zipper  ___,B09TPX22NF,_________,ADISA 
6,https://www.amazon.in//Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-7," HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings.  ___ FRONT POCKET: Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to access  ___ MESH POCKET: Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrella  ___ COMFORT: Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps  ___ WARRANTY: All of our bags come with 1-year International Warranty against manufacturing defects  ___",B09B29F66W,,Safari Industries 
7,https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-8," Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex  ___ Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps  ___ Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks  ___ Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket  ___ Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry  ___",B07K8KLB3P,"Ergonomic   Contoured Shape    With a slim, sleek and compact   design you will love how this backpack can look small and compact even though   it has 2 spacious compartments to store your gadgets, books, keys and even a   water bottle!___Fits Your   Laptop   You can take along your gadgets   with you to office, college or anywhere with this backpack, as it has got   allotted storage space that fits a laptop of up-to 15.6 inches.___Strong and   Lightweight    Designed with great quality   materials that are waterproof, tough and durable, this backpack is like no   other as it features a lightweight design that is easy to maintain as well.___",NA
8,https://www.amazon.in//Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-9," Made of multi-coated 600D polyester Material ; Water Repellent  ___ Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters  ___ Small Size backpack; Laptop Compatibility: No  ___ This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more  ___ With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books  ___ 6 months limited warranty  ___",B088XB5XY8,"It's an edgy mix of fashionable details and practical usability. This backpack is made to accompany you on any adventure___With a capacity of 12 litres, this backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more.___The multi coated, water-repellent 600D polyester fabric design keeps your belongings safe whether you're on a short excursion or bustling through a commute.___The Mi Step Out Backpack is available in 4 trendy colors. The array of vibrant colors allow you to make your pick and stand out wherever you go.___Fully equipped with a water repellent exterior, contra zippers, reflective pullers and adjustable shoulder straps, this backpack is ideal companion for a hands-free day___Weighing just 200g, this backpack is easy to carry whether you're toting it through the airport, hitting the gym, exploring a new city or using it as a carrier for your books.___",NA
9,https://www.amazon.in//FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-10," MATERIAL - We use Highest Quality of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.  ___ Waterproof - With this unisex duffle bag, you can be rest assured that none of your belongings will be damaged by rain or accidental splashes. The interiors of this water-resistant travel duffle bag remain free from moisture even if you get caught in an unexpected shower.  ___ Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres. Huge Spacious Compartment  ___ Design - This stylish yet utilitarian textured leatherette duffle bag can be used for corporate travel as well as to take to the gym. The Large Spacious Compartment is suitable for 3-4 days weekender or business trip, can be used as a carry-on flight bag as well.  ___ Warranty - 100% Genuine Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects  ___",B07M9BRCQ5,"Artificial Leather Material   The presence of artificial leather material in this smart duffle bag makes it tough and durable. The fabric is durable and long lasting.___Water Resistant Fabric   The textured PU Leather Fabric is water resistant in nature which means any small splashes and your items inside the bag will still be safe. However, we recommend you to be careful during heavy rain as the zips are never 100% waterproof and thus extra caution is recommended.___Fit-For-All Occasions   This stylish backpack has been crafted with a special focus on the looks as well. The visually appealing appearance of the product can fit into any occasion without much adjustment.___Spacious Compartment   With a huge compartment in this bag, the user can have ample space for storage. The large compartment is suitable for 3 to 4 days weekender or business trip. It can also be used as a carry-on flight bag as well.___Zipper Closure   The traditional zipper closure remains a constant as well. This can give the user with an easy access to the contents inside during need. The smooth zipper operation adds a sense of convenience into the overall user experience.___Ergonomic Grab Handles   There are two padded grab handles and a single long strap present in the bag for carrying. The user can use either of the two options as per the convenience. This flexibility is another highlight of the product.___",Fur Jaden 
